customer_id,gross_revenue,recency_days,purchases,unique_products_purchased,items_purchased,avg_ticket,avg_recency_days,frequency,number_returns,monetary_returns,avg_basket_size,unique_avg_basket,delta_buy_return,embedding_x,embedding_y,embedding_z,embedding_a,embedding_b,embedding_c,embedding_d,embedding_e,embedding_f,embedding_g,cluster
17850,5391.21,372.0,34.0,297.0,1733.0,158.565,35.5,17.0,1.0,102.58,50.970588235294116,8.735294117647058,0.019027268461069037,-1.0783663,6.3390703,-1.5788789,2.2634757,3.5385132,7.096507,6.895715,6.6432743,4.7670407,7.2606287,8
13047,3232.59,56.0,9.0,171.0,1390.0,359.1766666666667,27.25,0.02830188679245283,7.0,143.49,154.44444444444446,19.0,0.044388555307044816,0.40314543,4.0846276,-2.4509912,2.900668,2.9927578,8.74196,-1.288709,6.378879,7.6582775,5.8805676,8
12583,6705.38,2.0,15.0,232.0,5028.0,447.0253333333333,23.1875,0.04032258064516129,2.0,76.03999999999999,335.2,15.466666666666667,0.011340147761946376,-1.1604675,9.620781,11.093784,6.263982,3.622372,8.326486,2.6613405,6.0311165,6.5469217,5.394623,10
13748,948.25,95.0,5.0,28.0,439.0,189.65,92.66666666666667,0.017921146953405017,0.0,0.0,87.8,5.6,0.0,11.684795,6.897695,5.4737706,-2.416555,3.4933217,10.443221,4.486098,4.1508656,6.8221197,9.87766,1
15100,876.0,333.0,3.0,3.0,80.0,292.0,8.6,0.07317073170731707,3.0,240.89999999999998,26.666666666666668,1.0,0.27499999999999997,10.977386,10.320524,4.537533,6.449426,7.7847695,5.1061,5.0689826,11.470484,9.177377,9.604027,4
15291,4623.3,25.0,14.0,102.0,2102.0,330.2357142857143,23.2,0.04011461318051576,5.0,71.79,150.14285714285714,7.285714285714286,0.015527869703458569,-1.0092485,9.160873,5.039236,3.4757226,3.6216507,7.23304,12.666398,6.744972,6.012619,5.831978,9
14688,5630.87,7.0,21.0,327.0,3621.0,268.13666666666666,18.3,0.05722070844686648,6.0,523.49,172.42857142857142,15.571428571428571,0.09296787174983617,-1.3641212,9.411193,10.641634,6.056788,3.1985521,8.604723,3.9626608,5.9901137,6.82914,5.01298,10
17809,5411.91,16.0,12.0,61.0,2057.0,450.9925,35.7,0.0335195530726257,2.0,67.06,171.41666666666666,5.083333333333333,0.01239118906264147,-0.97234476,9.063783,4.935229,3.4062707,3.6199498,7.291454,12.667053,6.704432,6.0294228,5.794745,9
15311,60767.9,0.0,91.0,2379.0,38194.0,667.7791208791209,4.144444444444445,0.24331550802139038,27.0,1348.56,419.7142857142857,26.142857142857142,0.022191979647149234,1.0716364,9.701834,12.00369,5.515765,4.3184958,7.9055557,-1.7078335,6.7872458,6.0833907,5.369874,10
16098,2005.63,87.0,7.0,67.0,613.0,286.5185714285714,47.666666666666664,0.024390243902439025,0.0,0.0,87.57142857142857,9.571428571428571,0.0,8.827713,-0.6204564,7.3418555,1.4402382,-0.2297067,4.8037257,4.4175053,7.197414,9.086111,3.498925,7
17420,598.83,50.0,3.0,30.0,265.0,199.61,161.5,0.009259259259259259,0.0,0.0,88.33333333333333,10.0,0.0,10.775929,10.316084,5.0536423,2.1663747,4.6336164,9.249641,5.3222156,8.352022,2.7778056,1.6273654,2
16029,72882.09,38.0,62.0,241.0,40207.0,1175.5175806451612,9.054054054054054,0.18452380952380953,4.0,14688.24,648.5,3.8870967741935485,0.2015342864069897,1.1185657,9.7057905,12.025652,5.5104,4.3220773,7.885062,-1.7675737,6.819515,6.0924277,5.348527,10
16250,389.44,261.0,2.0,24.0,208.0,194.72,112.0,0.017699115044247787,0.0,0.0,104.0,12.0,0.0,10.535839,10.343563,4.092066,7.0339036,6.6133847,4.9565887,4.653691,11.331606,9.216111,8.564375,4
12431,6382.45,35.0,15.0,233.0,2899.0,425.49666666666667,22.533333333333335,0.04424778761061947,3.0,71.06,193.26666666666668,15.533333333333333,0.011133655571136476,-1.3429025,9.761395,10.529113,5.981563,3.4759898,8.337846,4.580181,6.121096,6.6767774,4.7518096,10
17511,91062.38,2.0,31.0,963.0,64549.0,2937.496129032258,11.59375,0.08333333333333333,14.0,2924.18,2082.2258064516127,31.06451612903226,0.032111833668305174,1.1713377,9.709283,12.055091,5.504932,4.325164,7.857197,-1.8305628,6.8604,6.1049075,5.3202786,10
17548,103.3,233.0,1.0,5.0,58.0,103.3,78.0,1.0,2.0,244.78,58.0,5.0,2.369603097773475,10.299177,11.292297,2.673764,11.322262,-2.2167654,8.084322,3.9888773,2.9195766,4.9086943,7.6761794,3
13705,711.86,7.0,3.0,28.0,363.0,237.28666666666666,183.0,0.008174386920980926,0.0,0.0,121.0,9.333333333333334,0.0,10.981329,8.591468,5.37622,-0.83954644,4.0739884,10.171877,4.5299397,5.8553843,2.9596395,3.650212,2
13408,28117.04,1.0,62.0,478.0,16232.0,453.5006451612903,7.294117647058823,0.16621983914209115,13.0,228.66,261.80645161290323,7.709677419354839,0.008132434993157174,0.6833421,9.6704645,11.880446,5.5524154,4.281888,7.945071,-1.1472516,6.624226,6.087097,5.4665065,10
13767,17220.36,2.0,37.0,368.0,7322.0,465.41513513513513,9.048780487804878,0.09946236559139784,15.0,274.65000000000003,197.8918918918919,9.945945945945946,0.01594914392033616,-0.9140664,9.425921,11.358318,6.2066803,3.8227482,8.289556,0.889307,5.976316,6.4773445,5.6913037,10
17924,2962.5,11.0,7.0,31.0,1160.0,423.2142857142857,41.333333333333336,0.01928374655647383,6.0,68.17,165.71428571428572,4.428571428571429,0.02301097046413502,6.4290857,-0.69382507,4.6414685,9.67216,8.159596,10.980705,4.5158763,6.221584,8.343827,4.6857176,5
13448,3539.37,16.0,6.0,195.0,1660.0,589.895,51.0,0.01675977653631285,4.0,73.7,276.6666666666667,32.5,0.020822914812523134,-1.0379082,6.276601,-1.5819786,2.321177,3.529141,7.1500535,6.8366456,6.7058196,4.7017283,7.222961,8
15862,832.88,8.0,4.0,147.0,585.0,208.22,121.66666666666667,0.01092896174863388,0.0,0.0,146.25,36.75,0.0,9.092965,0.072479695,7.1565123,1.2288808,-0.041190274,5.243572,4.464409,6.627535,10.170809,3.5589097,7
15513,14758.220000000001,33.0,19.0,308.0,5709.0,776.7484210526317,20.11764705882353,0.05571847507331378,3.0,238.14000000000001,300.4736842105263,16.210526315789473,0.016136092292973,-1.0043747,9.446545,11.287779,6.2454596,3.7761261,8.300992,1.2244424,5.967501,6.530401,5.597087,10
16218,3084.68,29.0,7.0,84.0,2088.0,440.6685714285714,57.333333333333336,0.020289855072463767,1.0,29.810000000000002,298.2857142857143,12.0,0.00966388734001582,-0.97613233,9.008674,4.9670577,3.3773546,3.5608282,7.380165,12.660191,6.6486344,5.976451,5.7009535,9
14045,1659.75,109.0,4.0,6.0,535.0,414.9375,132.0,0.01509433962264151,0.0,0.0,133.75,1.5,0.0,8.798269,-0.65785694,7.4226003,1.2809551,-0.16354482,4.246282,4.2464814,8.018685,9.028722,3.0777807,7
14307,2995.72,88.0,6.0,180.0,2058.0,499.2866666666667,71.25,0.02097902097902098,0.0,0.0,343.0,30.0,0.0,-0.9748892,9.123515,5.3866315,3.366759,3.3668196,7.5704975,12.556412,6.5010104,5.804073,5.4431996,9
17920,4192.2,4.0,17.0,695.0,2514.0,246.6,23.0625,0.04594594594594595,0.0,0.0,147.88235294117646,40.88235294117647,0.0,-0.93346655,9.84774,5.6444664,3.5965078,3.72105,7.082309,12.331971,6.932167,6.1666503,5.9783387,9
12838,683.13,33.0,2.0,123.0,359.0,341.56500000000005,340.0,0.005865102639296188,0.0,0.0,179.5,61.5,0.0,10.970726,8.753798,5.4447045,-0.93014044,4.2897267,10.087504,4.7446065,5.9351077,3.114732,3.8732178,2
13255,399.51,9.0,2.0,13.0,177.0,199.755,185.0,0.005479452054794521,1.0,8.850000000000001,88.5,6.5,0.02215213636704964,10.728269,10.382899,4.3432155,6.621477,7.719694,4.9721603,4.859798,11.367048,9.240803,9.219092,4
18085,689.95,330.0,2.0,29.0,265.0,344.975,43.0,0.045454545454545456,0.0,0.0,132.5,14.5,0.0,11.984484,10.086308,4.9537425,1.2086135,6.1046305,8.241677,6.3888955,8.743385,3.6988134,3.148012,2
13758,3190.55,11.0,7.0,117.0,1844.0,455.79285714285714,60.333333333333336,0.01928374655647383,0.0,0.0,263.42857142857144,16.714285714285715,0.0,-0.33167067,5.511869,-2.4448016,1.9215434,3.1428459,7.4437833,6.4374747,6.7493343,4.6867313,6.760927,8
13694,65039.62,3.0,50.0,568.0,63312.0,1300.7924,9.736842105263158,0.1347708894878706,7.0,2115.52,1266.24,11.36,0.03252663530321979,1.1348318,9.707418,12.03408,5.508258,4.323633,7.8774214,-1.7880671,6.831014,6.0955377,5.340821,10
